                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92322,                 2.5439,                 1.0248,                0.80136,                0.25431,                0.54528,                 0.4261,                0.90059,                 3.0678,                0.98474,               0.070366,              0.0032927,              0.0032927
                      1,                0.90484,                 1.3198,                 0.9998,                 0.8484,                0.72358,                0.78133,                0.56661,                0.88086,                 1.5386,                 1.0034,               0.040235,              0.0064948,              0.0064948
                      2,                0.92326,                 1.2024,                 1.0272,                0.66141,                0.63462,                0.66276,                0.48482,                 1.0018,                 2.5076,                 1.1138,              0.0099715,               0.009565,               0.009565
                      3,                0.93979,                 1.1305,                 1.0384,                0.64771,                0.70219,                0.72048,                0.52803,                0.84951,                 1.3877,                 1.0221,               0.009406,               0.009406,               0.009406
                      4,                0.86869,                 1.0123,                 1.0202,                0.77467,                0.74783,                0.78155,                0.55625,                0.91792,                  1.249,                 1.0804,               0.009406,               0.009406,               0.009406
                      5,                0.88348,                0.94481,                 1.0285,                 0.8646,                0.78736,                0.87066,                0.64247,                0.81307,                 1.0165,                 1.0209,               0.009208,               0.009208,               0.009208
                      6,                0.85708,                 0.8469,                 1.0054,                0.84116,                0.87455,                0.89897,                0.64537,                0.81808,                0.88194,                 1.0229,                0.00901,                0.00901,                0.00901
                      7,                0.82387,                0.81046,                 1.0115,                0.86931,                0.81215,                 0.8667,                0.67051,                0.72453,                0.78928,                0.99353,               0.008812,               0.008812,               0.008812
                      8,                0.78598,                0.75015,                0.99523,                0.90636,                0.83892,                0.91361,                0.70707,                0.71971,                0.71367,                0.97536,               0.008614,               0.008614,               0.008614
                      9,                0.78951,                0.71242,                0.98806,                0.80797,                0.82711,                0.87143,                 0.6939,                0.70075,                0.71827,                0.96124,               0.008416,               0.008416,               0.008416
                     10,                0.75688,                 0.6631,                0.97763,                0.93147,                0.86265,                0.90426,                0.71918,                0.69679,                0.63894,                0.96649,               0.008218,               0.008218,               0.008218
                     11,                0.76488,                0.66897,                 0.9833,                0.87734,                 0.8809,                0.93014,                0.73115,                0.67244,                0.59284,                0.93307,                0.00802,                0.00802,                0.00802
                     12,                0.73856,                0.63889,                0.96359,                  0.951,                0.87381,                0.93613,                0.74443,                 0.6503,                 0.5746,                0.93735,               0.007822,               0.007822,               0.007822
                     13,                0.71765,                0.60827,                0.96592,                0.92973,                 0.8576,                0.92219,                0.73216,                0.67971,                0.57138,                0.95164,               0.007624,               0.007624,               0.007624
                     14,                0.73036,                0.60426,                0.96004,                0.92585,                0.88677,                0.93724,                0.72298,                0.69779,                0.53508,                0.95236,               0.007426,               0.007426,               0.007426
                     15,                0.73167,                 0.5905,                0.96308,                0.93062,                0.84444,                0.90876,                0.71695,                0.69878,                0.64821,                  0.967,               0.007228,               0.007228,               0.007228
                     16,                 0.6996,                0.56982,                0.94771,                0.89138,                0.84085,                  0.918,                0.72306,                0.69102,                0.55123,                0.95884,                0.00703,                0.00703,                0.00703
                     17,                0.67906,                0.52946,                0.94563,                0.93468,                0.90952,                0.94933,                0.74414,                0.66234,                0.47955,                0.94002,               0.006832,               0.006832,               0.006832
                     18,                0.67818,                0.52861,                 0.9512,                0.96502,                0.90251,                0.95421,                0.76867,                0.62628,                0.46542,                0.92435,               0.006634,               0.006634,               0.006634
                     19,                 0.6772,                0.52908,                0.95127,                0.97033,                0.93554,                0.96283,                 0.7609,                0.63528,                0.45834,                0.93047,               0.006436,               0.006436,               0.006436
                     20,                0.67804,                0.51731,                0.94247,                0.90536,                0.91019,                0.94461,                0.76588,                0.64393,                0.47523,                 0.9392,               0.006238,               0.006238,               0.006238
                     21,                0.65149,                0.50026,                0.93412,                0.94371,                0.90933,                0.95451,                0.75931,                0.61976,                0.44796,                0.91802,                0.00604,                0.00604,                0.00604
                     22,                0.66779,                0.50227,                0.93537,                0.92005,                0.94657,                0.95494,                0.77485,                0.61462,                0.42253,                0.91404,               0.005842,               0.005842,               0.005842
                     23,                0.64314,                0.46571,                0.93177,                0.96332,                0.92922,                0.96862,                0.77844,                0.62019,                0.41761,                0.92742,               0.005644,               0.005644,               0.005644
                     24,                0.64778,                0.46795,                0.93513,                0.98208,                0.91632,                 0.9683,                0.79576,                0.61314,                0.40357,                0.92065,               0.005446,               0.005446,               0.005446
                     25,                0.64534,                0.46322,                0.92967,                0.94584,                0.94076,                0.95665,                0.77757,                0.59561,                0.41959,                0.90474,               0.005248,               0.005248,               0.005248
                     26,                0.62881,                0.45785,                0.92986,                0.94747,                0.96203,                0.97493,                0.80565,                0.58316,                0.39381,                0.90285,                0.00505,                0.00505,                0.00505
                     27,                0.62135,                0.44348,                0.92214,                0.91571,                0.93531,                0.95176,                0.80278,                0.56416,                0.39821,                0.89259,               0.004852,               0.004852,               0.004852
                     28,                0.62112,                0.44045,                0.92071,                0.98357,                0.91916,                 0.9759,                0.79601,                0.59286,                0.38177,                0.91782,               0.004654,               0.004654,               0.004654
                     29,                0.59547,                0.42993,                 0.9154,                0.96316,                0.95123,                0.97652,                0.80592,                0.58589,                0.37496,                0.90516,               0.004456,               0.004456,               0.004456
                     30,                0.59753,                0.42899,                 0.9133,                0.97736,                0.95729,                0.97924,                0.82284,                0.55038,                0.36597,                0.88645,               0.004258,               0.004258,               0.004258
                     31,                0.59391,                0.41794,                0.90549,                0.96851,                0.94826,                0.97304,                0.82149,                 0.5592,                0.36692,                0.88932,                0.00406,                0.00406,                0.00406
                     32,                0.58172,                0.40918,                0.90515,                0.94966,                0.96246,                0.97083,                0.81224,                0.55571,                0.36725,                0.88696,               0.003862,               0.003862,               0.003862
                     33,                0.58213,                0.40264,                0.90587,                0.97062,                 0.9449,                0.97374,                0.80364,                 0.5601,                0.36615,                0.89636,               0.003664,               0.003664,               0.003664
                     34,                0.58558,                0.40779,                0.90786,                0.97857,                0.95125,                0.97833,                0.82494,                0.54088,                0.34431,                0.88926,               0.003466,               0.003466,               0.003466
                     35,                0.57341,                 0.4025,                0.90078,                0.97379,                 0.9687,                0.98251,                0.82954,                0.53993,                0.33869,                0.87882,               0.003268,               0.003268,               0.003268
                     36,                0.56597,                0.38567,                0.89931,                0.96626,                0.96934,                0.98014,                0.83225,                0.55868,                0.33824,                 0.8879,                0.00307,                0.00307,                0.00307
                     37,                0.54633,                0.37521,                0.88863,                0.97464,                0.96493,                 0.9813,                0.83652,                0.54372,                0.33069,                0.87902,               0.002872,               0.002872,               0.002872
                     38,                0.56347,                0.37569,                0.89703,                0.97154,                 0.9777,                0.98299,                0.83768,                0.53278,                0.31695,                0.88174,               0.002674,               0.002674,               0.002674
                     39,                0.53124,                 0.3586,                0.88422,                0.97344,                0.97452,                0.98167,                0.81897,                0.56087,                0.32452,                0.89258,               0.002476,               0.002476,               0.002476
                     40,                0.53216,                0.35982,                0.88344,                0.98304,                0.97279,                0.98492,                0.83174,                0.53782,                0.31209,                0.88346,               0.002278,               0.002278,               0.002278
                     41,                0.51939,                0.34845,                0.88853,                0.97527,                0.98074,                0.98398,                 0.8375,                0.51886,                0.30847,                0.88561,                0.00208,                0.00208,                0.00208
                     42,                0.52204,                0.34388,                0.88687,                0.98091,                0.97356,                0.98298,                0.83608,                0.52771,                0.30954,                0.88167,               0.001882,               0.001882,               0.001882
                     43,                0.51305,                0.34574,                0.88269,                0.98643,                0.97134,                0.98502,                0.84364,                0.52035,                0.30023,                0.88314,               0.001684,               0.001684,               0.001684
                     44,                 0.5194,                0.34082,                0.88574,                0.97526,                0.97397,                0.98544,                0.84449,                0.51788,                0.29836,                0.88143,               0.001486,               0.001486,               0.001486
                     45,                0.51078,                0.33652,                0.88057,                0.98164,                0.96072,                0.98459,                0.84648,                0.51315,                0.29264,                0.87553,               0.001288,               0.001288,               0.001288
                     46,                 0.4948,                0.32391,                0.87478,                0.98291,                0.96706,                0.98479,                0.85195,                0.51134,                0.29108,                0.87087,                0.00109,                0.00109,                0.00109
                     47,                0.48383,                0.32393,                0.87867,                0.97891,                0.97218,                 0.9855,                 0.8577,                0.50154,                 0.2818,                0.87187,               0.000892,               0.000892,               0.000892
                     48,                0.48475,                0.31462,                0.87038,                 0.9779,                0.96953,                0.98512,                0.86355,                0.49645,                0.27674,                0.87201,               0.000694,               0.000694,               0.000694
                     49,                0.47044,                0.31188,                0.87099,                0.98563,                0.97594,                0.98543,                0.86131,                 0.4945,                0.27661,                0.86886,               0.000496,               0.000496,               0.000496
